Killed 0 pending application instances
DEBUG 2022-05-09 13:49:14,477 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\_distributor_init.py first seen with mtime 1634321888.4409862
DEBUG 2022-05-09 13:49:14,477 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1631533788.189042
DEBUG 2022-05-09 13:49:14,477 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1631533788.3386936
DEBUG 2022-05-09 13:49:14,477 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\random\_common.cp39-win_amd64.pyd first seen with mtime 1634321889.1270974
DEBUG 2022-05-09 13:49:14,477 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\gdal\libgdal.py first seen with mtime 1634322895.740208
DEBUG 2022-05-09 13:49:14,477 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\DLLs\_ctypes.pyd first seen with mtime 1630348604.0
DEBUG 2022-05-09 13:49:14,477 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\re.py first seen with mtime 1630348526.0
DEBUG 2022-05-09 13:49:14,477 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1631533785.5841866
DEBUG 2022-05-09 13:49:14,477 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1631533787.1449194
DEBUG 2022-05-09 13:49:14,478 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\test\signals.py first seen with mtime 1631533788.323074
DEBUG 2022-05-09 13:49:14,478 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1631533788.1840558
DEBUG 2022-05-09 13:49:14,478 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\utils\hashable.py first seen with mtime 1631533788.3543153
DEBUG 2022-05-09 13:49:14,478 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\version.py first seen with mtime 1634321888.4409862
DEBUG 2022-05-09 13:49:14,478 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1631533788.3074515
DEBUG 2022-05-09 13:49:14,478 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\urllib3\util\response.py first seen with mtime 1649661466.729704
DEBUG 2022-05-09 13:49:14,478 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1631810655.7166033
DEBUG 2022-05-09 13:49:14,478 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1631533788.3855574
DEBUG 2022-05-09 13:49:14,478 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\wsgiref\handlers.py first seen with mtime 1630348526.0
DEBUG 2022-05-09 13:49:14,478 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1631533788.3386936
DEBUG 2022-05-09 13:49:14,479 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\gdal\prototypes\generation.py first seen with mtime 1631533786.5981514
DEBUG 2022-05-09 13:49:14,479 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\db\backends\postgis\schema.py first seen with mtime 1631533786.5669088
DEBUG 2022-05-09 13:49:14,479 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\email\base64mime.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,479 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\matrixlib\defmatrix.py first seen with mtime 1634321889.0737202
DEBUG 2022-05-09 13:49:14,479 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\template\response.py first seen with mtime 1631533788.3074515
DEBUG 2022-05-09 13:49:14,479 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\urllib3\util\url.py first seen with mtime 1649661466.729704
DEBUG 2022-05-09 13:49:14,479 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\_compression.py first seen with mtime 1630348524.0
